Name,Year of Incorporation,Employee Range,Investment Stage,Sector Labels,Tags,Website,Notes
BANQEAST HOLDINGS PTE. LTD.,2019,1 - 10,Pre-seed,AI; Fintech; Blockchain; IoT; Big Data,Personal Finance; Insurtech; Business Lending ,https://www.banqeast.com/,
MODEINDUSTRIAL PTE. LTD.,2018,1 - 10,Pre-seed,Supply Chain & Logistics; Manufacturing & Engineering; IoT; Data Analysis; Big Data,SaaS; Data Analysis; Big Data; Cloud; Systems Development; Learning Platform; Robotics; Customer Relationship Management; Knowledge Management; Electric Vehicles,https://modeindustrial.com/,
MAGLOY TECH PTE. LTD.,2020,1 - 10,Seed,Aerospace; Medtech; Healthcare; Manufacturing & Engineering,Orthopedics; Medical devices; Biodegradable; Aviation,https://www.linkedin.com/company/magloy-tech,
VCLOUDX PTE. LTD.,2018,51 - 100,Pre-seed,Infotech; Telecom; Fintech; Infocomm Tech,SaaS; CPaaS; Communication Systems; Broadcasting,https://www.enablex.io,
Volopay,2019,51 - 100,Seed,Others; SaaS,FinTech,https://www.linkedin.com/company/volopay/,
See-Mode Technologies,2017,,Series A,Medtech,,https://www.see-mode.com/,
DATATURE ANALYTICS PTE. LTD.,2018,1 - 10,Pre-seed,AI; Enterprise Solutions; Data Analysis; Cloud,Video Processing; Medical Imaging; Machinery & Systems; Robotics; Data Analysis,https://datature.io,
ATSELL PTE. LTD.,2019,,Pre-seed,,,http://www.atsell.com,
SEVENTY ONE STUDIOS PTE. LTD.,2020,1 - 10,Pre-seed,Retail; E-Commerce; Consumer Electronics; Lifestyle,E-Commerce; Lifestyle; Retail; Consumer Electronics,http://what.com.sg,
MYLOH PRIVATE LIMITED,2020,1 - 10,Pre-seed,Digital Health,Www.Myloh.co,https://www.myloh.co,
CLIPP PTE. LTD.,2020,1 - 10,Pre-seed,Enterprise Solutions; Infocomm Tech; Data Analysis; Cloud; AR/VR,Video Processing; AR/VR,https://clipp.tv,
GYROGEAR PTE. LTD.,2018,11 - 50,Seed,Medtech; Biotech; Complementary Health Products; Digital Health; Healthcare,Medical devices; Health Analytics; Digitised Health Systems,https://gyrogear.co,
ARTIFICIAL SOLUTIONS PTE. LTD.,2019,1 - 10,Pre-seed,AI,Digitised Health Systems; Consumer & Marketing Analytics; Digital Marketing,https://www.artificical-solutions.com,
NERD TECHNOLOGIES PTE. LTD.,2021,1 - 10,Pre-seed,Education; Big Data,Big Data; Education; China,http://nerddup.com,
HOMEMADEASIA PTE. LTD.,2020,1 - 10,Pre-seed,Retail; E-Commerce; Food & Beverage,E-Commerce,https://thehomemade.asia,
TECTECH PTE. LTD.,2020,1 - 10,Pre-seed,Education; AI; SaaS; Data Analysis,Learning Analytics; Edtech; AI in education; Education; AIEd; SaaS,http://learnd.online,
FAIRMART TECHNOLOGIES PTE. LTD.,2020,1 - 10,Pre-seed,Retail; E-Commerce; IoT,E-Commerce,https://fairmart.app/,
JAVIS HOLDINGS PTE. LTD.,2021,11 - 50,Seed,Retail; AI; Food & Beverage; Infocomm Tech; Robotics,Emerging technology,https://www.linkedin.com/company/javisholdings,
BEHIND EVERY VOW PTE. LTD.,2020,1 - 10,Pre-seed,Events; E-Commerce; Lifestyle; Data Analysis; Big Data,Application Development,https://www.behindeveryvow.com,
MOBBIN PTE. LTD.,2021,11 - 50,Pre-seed,SaaS,SaaS,https://mobbin.com/,
AIR SOFTWARE PTE. LTD.,2020,1 - 10,Pre-seed,AI; Infocomm Tech; SaaS; Data Analysis; Big Data,Software; Data Analysis; no code; decision science; AI; NLP,https://www.airboxr.com,
DREAMFECT PTE. LTD.,2021,1 - 10,Pre-seed,Adtech; Entertainment; Lifestyle,Social Media; Social Networking; Application Development; Digital Marketing,http://dreamfect.com,
FUNDIGO PTE. LTD.,2021,1 - 10,Pre-seed,E-Commerce; Fintech; Others,Crowdfunding; impact business; startups; CSR,https://fundigo.co,
SYNOPTION PTE. LTD.,2018,11 - 50,Seed,Fintech; Enterprise Solutions; Data Analysis,Trading; Data Analysis,https://www.synoption.com,
SCALEFIVE PTE. LTD.,2020,11 - 50,Seed,SaaS; Cloud,Image Optimisation; DAM; SaaS; Digital Marketing,https://www.scaleflex.com/en/home,
SKILLS UNION PTE. LTD.,2020,11 - 50,Seed,Education; Media; Events; Others,E-Learning; Human Resources; Learning Platform; Digital Marketing,http://skillsunion.com,
LoLo,2021,1 - 10,Pre-seed,Food & Beverage; Travel & Hospitality; Lifestyle,Social Networking; Social Media; Consumer & Marketing Analytics,https://lolo.city,
WAFFLE TECHNOLOGIES PRIVATE LIMITED,2021,1 - 10,Pre-seed,Retail; Food & Beverage; Enterprise Solutions; SaaS; Big Data,Point of sale; crm; Food and beverages; Retail,https://wafflepos.com/,
CBE ECO-SOLUTIONS PTE. LTD.,2020,1 - 10,Pre-seed,Urban Solutions; Cleantech,Recycling; Cleaning Technology; Water Treatment; Waste Technology; Waste Management,https://www.cbeecosolutions.com/,
SENSERBOT PTE. LTD.,2016,11 - 50,Pre-seed,AI; Data Analysis; Cloud; Big Data; Robotics,Robotics; library; AI; shelf-reading,http://www.Senserbot.com,
AFOREMIND PTE. LTD.,2021,1 - 10,Pre-seed,Medtech; Education; Digital Health; Healthcare Services; Healthcare,mental health; MedTech; therapy; Education; IP; Diagnostics; psych; Medical devices; mentalhealth,https://www.aforemind.com,
ALTIMATE FOODS PTE. LTD.,2020,1 - 10,Pre-seed,Food Science and Technology; Agritech; Complementary Health Products; Food Manufacturing & Processing,Alternative Protein; Health Supplements,http://www.altimatenutrition.com,
KASHVI INTERNATIONAL (S) PTE. LTD.,2018,,Pre-seed,,,https://kis.sg/,
HUMMUS EDUCATION PTE. LTD.,2021,1 - 10,Pre-seed,Education; Others,E-Books; EduTech; speechrecognition; AI; earlychildhood,http://www.hummusedu.com,
PGI DATA PTE. LTD.,2020,,Pre-seed,,,https://pgi-data.com/#/home,
RICHROAD HOLDINGS PTE. LTD.,2020,1 - 10,Pre-seed,E-Commerce,Digital Marketing; E-Commerce; marketplace; Freelancing; On-Demand service; Gig Economy; IT & Programming; Technology; Remote Work; Future of Work,https://www.rr-asia.com,
PROCCOLI PTE. LTD.,2020,1 - 10,Pre-seed,AI; Real Estate; SaaS; Cloud; Big Data,Facilities Management; proptech; Workflow management; procurement; property management; Enterprise Solution; Software Solution; SaaS; Artificial intelligence; Cybersecurity,https://www.proccoli.com,
IBLE TECHNOLOGY (SINGAPORE) PTE. LTD.,2020,1 - 10,Pre-seed,Complementary Health Products; Consumer Electronics; Healthcare; Lifestyle,Innovative Healthcare; Wearable; wearable air purifier,https://www.airvida.co,
THE NEXT CHAPTER GROUP PTE. LTD.,2020,1 - 10,Pre-seed,Media; Events,Music & Podcasts; Video Streaming; Video Processing; Social Media,https://tncg.co,
AFFABLE TECHNOLOGIES PTE. LTD.,2017,11 - 50,Pre-series A,Adtech; Enterprise Solutions; Big Data,Digital Marketing; Influencer Marketing; Social Media; social,https://www.affable.ai,
Knowledge Catalyst,2018,11 - 50,Pre-seed,Education; Blockchain; SaaS; Data Analysis,Blockchain; Education,https://www.knowledgecatalyst.io/,
UPCIRCLE PTE. LTD.,2020,1 - 10,Pre-seed,Supply Chain & Logistics; Urban Solutions; Lifestyle,Recycling; Community; environment; Circular Economy; Mobile Application; Technology; Lifestyle; upcycling,https://www.upcircle.app,
SINGAPORE MATHGYM PTE. LTD.,2018,1 - 10,Pre-seed,Education; Others,E-Learning,https://www.mathgym.sg,
FASPACE PTE. LTD.,2021,,Pre-seed,,,https://WWW.FASPACE.SG,
RANSACK SG PTE. LTD.,2021,1 - 10,Pre-seed,Others,Gamification,https://www.theransack.com,
AVNON (PTE. LTD.),2020,1 - 10,Pre-seed,Infotech; Enterprise Solutions; Cloud; Big Data,Knowledge Management; SaaS; Learning Platform,https://avnon.co,
SIXSENSE PTE. LTD.,2018,,Pre-seed,,,https://sixsense.ai/,
MYJOB SOLUTIONS PTE. LTD.,2021,1 - 10,Pre-seed,Infotech; Others,Systems Development; Web Development; Application Development; Communication Systems,https://myjob.com.sg/,
LYTEHOUSE PTE. LTD.,2019,1 - 10,Pre-seed,AI; SaaS,Security Monitoring; video analytics; Threat Detection; SaaS,https://www.lytehouse.io,
MAXWELLTECH PTE. LTD.,2020,1 - 10,Pre-seed,Consumer Electronics,"Smart Device, IoT",http://www.MaxwellTech.com.sg,
DATALITY LAB PTE. LTD.,2021,1 - 10,Pre-seed,Education; AI; Infocomm Tech; SaaS; Data Analysis,Data Analysis; Learning Platform; SaaS; Communication Training; Edtech; Business Sustainabilities; data privacy; Artificial intelligence,https://www.datalitylab.com,
GOAMA PTE. LTD.,2018,1 - 10,Seed,Adtech; Gaming,Gamification,http://www.goama.com,
TENDONPLUS MEDICAL PTE. LTD.,2021,1 - 10,Pre-seed,Medtech,Orthopedics; Medical devices,https://www.trendlines.com/company/tendonplus-medical/,
MEYDOU PTE. LTD.,2021,1 - 10,Pre-seed,Agritech; E-Commerce; Food & Beverage; Enterprise Solutions; Supply Chain & Logistics,E-Commerce; Food Packaging,https://meydou.com,
MOEV PTE. LTD.,2021,1 - 10,Pre-seed,Urban Solutions; Lifestyle; Manufacturing & Engineering; Others; IoT,Electric Vehicles; Battery Swapping,https://www.moevmnt.com,
BUYLA PTE. LTD.,2020,1 - 10,Pre-seed,E-Commerce,E-Commerce,https://www.buyla.sg,
URBAN TILLER PTE. LTD.,2020,,Pre-seed,,,http://www.urbantiller.sg,
KADDRA IP HOLDING PTE. LTD.,2017,,Pre-seed,,,https://www.kaddra.com,
LALIA PRIVATE LIMITED,2021,1 - 10,Pre-seed,Education,Education; Entertainment; AI,https://www.lalia.com.sg,
KodeKloud,2019,1 - 10,Pre-seed,Education,Edtech; Devops; Cloud; E-Learning; E-Commerce,https://kodekloud.com,
Make a Difference Courses,2020,1 - 10,Pre-seed,Education,Education; online courses; Social Enterprise ; University,http://www.madcourses.net/,
ACCESSIBLE VA PTE. LTD.,2021,1 - 10,Pre-seed,AI; Others,#futureofwork,https://www.ava.work,
DELIMAX CYBERNETICS PTE. LTD.,2021,1 - 10,Pre-seed,Industrial Electronics; AI; Manufacturing & Engineering; Cloud; Big Data,"Cybernetics, Technology",http://delimax.com.sg/,
Zuno Carbon,2020,11 - 50,Pre-seed,AI; Cleantech; IoT; Data Analysis,Carbon Management; Carbon Accounting; Sustainability,https://zuno-ai.com,
MEDICIA PTE. LTD.,2020,11 - 50,Pre-seed,Digital Health; AI; Healthcare; Cloud; Big Data,RWE Oncology,http://www.medicia.ai,
SOLV8 TECHNOLOGY PTE. LTD.,2021,1 - 10,Pre-seed,Cleantech; Manufacturing & Engineering,Machinery & Systems; Waste Management; Water Treatment; energy efficient ; Cleantech; membrane,http://SOLV8.tech,
MUZIBEES PTE. LTD.,2017,1 - 10,Pre-seed,Entertainment,mobileapp music entertainment,https://www.muzibees.com,
TRAVEL STACK ASIA PTE. LTD.,2021,11 - 50,Seed,AI; Travel & Hospitality; Enterprise Solutions; SaaS; Cloud,SaaS,https://travstack.com/,
CARPE VINUM COLLECTIVE PRIVATE LIMITED,2021,1 - 10,Pre-seed,Food & Beverage; Food Manufacturing & Processing,E-Commerce,https://www.velixir.sg/,
ROOTALLY AI PTE. LTD.,2020,1 - 10,Pre-seed,AI; Digital Health; Healthcare Services; Healthcare,telerehab; Telemedicine; Health Analytics; Mobile Health; Video Processing,https://rootally.com/,
SOMIN PTE. LTD.,2017,11 - 50,Pre-series A,Adtech,Adtech; AI; MarTech,https://somin.ai,
PiezoRobotics,2019,1 - 10,Pre-seed,Precision Engineering; Transport; Industrial Electronics; Manufacturing & Engineering; Robotics,Robotics; Machinery & Systems; Precision Electronics; automotive; Advanced Manufacturing,https://www.piezorobotics.com,
GARDEN GENESIS PTE. LTD.,2020,1 - 10,Pre-seed,Education; Biotech; Big Data,Personalised Learning; Early Childhood Education; Learning Analytics; Genetic Assessment; Big Data; Edtech; customised teaching; differentiated teaching; Bioinformatics,https://thegardengenesis.com,
WAICO PRIVATE LTD.,2021,1 - 10,Pre-seed,Food & Beverage; Supply Chain & Logistics,supply chain optimisation; Online marketplace; delivery; cloud kitchens; food & Beverage,https://www.thewaicompany.com,
POWERHOUSE.AI PTE. LTD.,2021,1 - 10,Pre-seed,AI; Supply Chain & Logistics; Enterprise Solutions; SaaS; Data Analysis,Inventory Management; AR/VR; Video Processing,https://www.pwh.ai/,
KASSOM PTE. LTD.,2021,1 - 10,Pre-seed,Education,Platform to connect tutors and students around the work and conduct lessons online and face to face.,https://kassom.com,
MOVERSLY PTE. LTD.,2021,1 - 10,Pre-seed,Transport; Travel & Hospitality; Supply Chain & Logistics,Shipping ; logistics; International Move; on-demand delivery; Supply Chain; air cargo; sea cargo; personal effects shipment,http://www.moversly.com,
DIGIASSETS EXCHANGE (SINGAPORE) PTE. LTD.,2019,,Pre-seed,,,https://www.sdax.co/,
Safe Space,2017,11 - 50,Seed,Digital Health; Healthcare Services; Healthcare,Health Analytics; Human Resources; Mobile Health; Digitised Health Systems,https://safespace.sg,
EduX,2020,11 - 50,Pre-seed,Education; Big Data,higher education; recruitment; admission; international education; EduTech; Edtech,https://www.edux.one,
UKISS Technology,2021,1 - 10,Seed,Consumer Electronics; Fintech; Enterprise Solutions; Lifestyle; Blockchain,Digital Security; Cryptocurrency; Ecosystem; Technology; Hardware wallet,https://www.ukiss.io,
KALLOS TECHNOLOGIES PTE. LTD.,2019,,Pre-seed,,,https://www.stragiliti.net,
MEDIVR PTE. LTD.,2021,1 - 10,Pre-seed,Education; AI; Digital Health; Healthcare Services; AR/VR,AR/VR; Natural Language Processing; Medical devices; Artificial intelligence; Learning Platform; Digitised Health Systems; Medical Training; mixed reality; Edtech; hololens,https://medivr.io,
ATLAS KITCHEN PTE. LTD.,2020,1 - 10,Seed,Food & Beverage; Infocomm Tech,food and beverage; SaaS; ecommerce; food delivery,https://atlas.kitchen,
WEETECH INNOVATIONS PTE. LTD.,2021,1 - 10,Pre-seed,Urban Solutions; Cleantech; Manufacturing & Engineering,Water Treatment; membrane separation; desalination,https://www.weetech.com.sg,
ENT-VISION PTE. LTD.,2018,11 - 50,Pre-seed,Maritime; AI; Supply Chain & Logistics; Data Analysis,"#AI, #Logtech, #Marine Tech, #Ent-Vision, #IPA, #Data Central, #Supply Chain Logistic, #Maritime, #Optimisation, #Smart Data, #GeoSpatial, #GeoWorks, #Pier71, ",https://www.ent-vision.com,
anycover,2021,1 - 10,Pre-seed,AI; E-Commerce; Fintech,Insurtech; E-Commerce,http://www.anycover.co,
JINGJUK PTE. LTD.,2020,1 - 10,Pre-seed,Media; Lifestyle,Social Networking; Video Streaming,https://www.jingjuk.com,
MILIEU INSIGHT PTE. LTD.,2016,,Pre-seed,Enterprise Solutions; SaaS; Data Analysis,,https://www.mili.eu/sg,based on internet checks
ATOMIONICS PTE. LTD.,2018,,Pre-series A,Others,,http://www.atomionics.com/,
NAN YANG ACADEMY OF SCIENCES PTE. LTD.,2018,,Pre-seed,Education,,https://nassg.org/,based on internet checks
PHAOS TECHNOLOGY PTE. LTD.,2017,,Pre-seed,Nanotechnology,,https://phaostech.com,based on internet checks
NEUROSENSUM INTERNATIONAL PTE. LTD.,2017,,Pre-seed,AI; SaaS,,,
CONNECTOME PTE. LTD.,2018,11 - 50,Pre-seed,AI; Blockchain; AR/VR,,https://connectome.to,
INVESTREE SINGAPORE PTE. LTD.,2016,,Series C,Fintech,,https://www.investree.id,
LUMOS LABS PTE. LTD.,2017,,Pre-seed,Events; Blockchain,,http://twitter.com/Lumosity,
SYMBO PLATFORM HOLDINGS PTE. LTD.,2017,,Pre-seed,Fintech,,https://www.symbo.co/,based on internet checks
GLOBAL WEALTH TECHNOLOGY PTE. LTD.,2021,1 - 10,Pre-seed,Fintech,#fintech #invest #financialadvisory,http://www.beansprout.sg,
EUREKA AI PTE. LTD.,2016,,Series B,AI; Telecom; Fintech; Data Analysis; Big Data,,https://eureka.ai/,
MENTOGRAM PTE. LTD.,2021,11 - 50,Seed,Education; SaaS,SaaS; E-Learning; Learning Platform; Gamification,https://mentogram.com,
KiriPay,2021,1 - 10,Pre-seed,Fintech; Enterprise Solutions; Blockchain; SaaS,Cryptocurrency; Payment Systems; Blockchain; FinTech; Payments,https://www.kiripay.co,
NOVELSHIP PTE. LTD.,2016,,Pre-seed,E-Commerce; Lifestyle,,https://novelship.com,based on internet checks
SANSIRI INTERNATIONAL PTE. LTD.,2018,,Pre-seed,Real Estate,,,no webpage found
NODEFLAIR PTE LTD,2018,,Pre-seed,Others,,https://nodeflair.com/,based on internet checks
OBBO PTE LTD,2018,,Pre-seed,E-Commerce,,https://obbo.sg,based on internet checks
UNTANGLE AI PTE LTD,2018,,Pre-seed,Infotech; AI,,,
RAVENRY PTE. LTD.,2018,,Pre-seed,Infocomm Tech,,https://theravenry.com/,based on internet checks
SUNKONNECT PTE LTD,2017,,Pre-seed,Urban Solutions,,,
JONI.AI PTE LTD,2019,,Pre-seed,Education; AI,,https://web.joni.ai,based on internet checks
AIROME TECHNOLOGIES PTE. LTD.,2019,,Pre-seed,Infotech; Fintech,,,
Aromatec PTE. LTD.,2018,,Pre-seed,Food & Beverage,,https://aromatec.biz,based on internet checks
Alai Labs PTE. LTD.,2016,,Pre-seed,IoT,,https://alai-labs.com/,based on internet checks
EloCare Pte Ltd,2020,,Pre-seed,AI; Healthcare,,https://www.elo.care/,based on internet checks
Easylearn Pte. Ltd.,2017,11 - 50,Pre-seed,Education; AI,E-Learning; Learning Platform,https://www.SmartJen.com,
Life3 Biotech Pte Ltd.,2019,,Pre-seed,Agritech; Biotech; Food & Beverage,,https://www.life3.co/,based on internet checks
Plantonic SINGAPORE PTE. LTD.,2019,,Pre-seed,Biotech,,https://www.plantonic.sg,based on internet checks
Equilibrium WORLD PTE. LTD.,2019,,Pre-seed,Data Analysis,,https://www.eqm.world/,based on internet checks
UNL GLOBAL SG PTE. LTD,2019,,Pre-seed,Infocomm Tech,,https://unl.global/,based on internet checks
Eureka Robotics Pte Ltd,2018,,Pre-seed,Telecom; Robotics,,https://eurekarobotics.com/,based on internet checks
Pundi X Labs PTE. LTD.,2017,,Pre-seed,Fintech,,,
Zilliqa Research Pte. Ltd.,2017,,Pre-seed,Blockchain,,,
ABIVIN Singapore PTE. LTD.,2018,,Pre-seed,Infotech; Supply Chain & Logistics,,,
Microtube Technologies PTE. LTD.,2018,,Pre-seed,Others,,http://www.microtube.tech,
Quantified Energy Labs PTE. LTD.,2019,,Pre-seed,AI; Hardware; Robotics,,https://qe-labs.com/,based on internet checks
Next Gen Protein,2019,,Pre-seed,Food & Beverage,,,
X-ZELL BIOTECH PTE. LTD.,2018,11 - 50,Seed,Medtech; Biotech; Digital Health,Diagnostics; Medical devices; Life Science Tools; Medical Imaging,http://www.x-zell.com,
Vizzio Technologies Pte Ltd,2019,,Pre-seed,AI,,,
TransTRACK.ID,2021,,Pre-seed,Transport; Infotech,,,
Drive lah Pte Ltd,2019,51 - 100,Pre-series A,Transport; Travel & Hospitality; Urban Solutions; IoT,carsharing; P2P; Mobility; sustainablecities,http://www.drivelah.sg,
Enleofen Bio Pte Ltd,2017,,Pre-seed,Biotech,,,
PriyoShop Pte Ltd,2020,Above 200,Pre-series A,Retail; E-Commerce; Fintech; Enterprise Solutions,E-Commerce; b2b; b2b ecommerce; Supply Chain; logistics; FinTech; marketplace,https://priyoshopretail.com/,
E3A Healthcare Pte. Ltd.,2019,,Pre-seed,Medtech,,https://www.e3ahealth.com/,
Sesto Robotics Pte Ltd,2017,,Pre-seed,Robotics,,https://www.sestorobotics.com,based on internet checks
Zero2.5 Biotech Pte Ltd,2019,,Pre-seed,Urban Solutions,,https://negativeairion.com,based on internet checks
MicroSec Pte Ltd,2016,,Pre-seed,Enterprise Solutions; IoT,,https://www.microsec.io/,based on internet checks
Factors Platform Pte Ltd,2018,,Pre-seed,Others,,,
30K Pte Ltd (Pka Tack),2019,,Pre-seed,Infocomm Tech,,https://www.tackgps.app/,based on internet checks
Intellect Company Pte Ltd,2019,,Pre-seed,Lifestyle,,https://intellect.co/,based on internet checks
Ottodot Pte Ltd,2019,,Pre-seed,Education,,https://www.ottodot.com/,based on internet checks
The Woof Agency Pte Ltd,2019,,Pre-seed,Others,,https://www.thewoofagency.com/,based on internet checks
99 Group Pte. Ltd.,2019,1 - 10,Pre-seed,Real Estate,,http://coursepad.com,
Haikini Venture,2018,,Pre-seed,Lifestyle,,,
GROWER AGRITECH PTE LTD,2019,,Pre-seed,Agritech,,https://groweragritech.com,based on internet checks
MPics Innovation Pte. Ltd.,2019,,Pre-seed,Manufacturing & Engineering,,,
ROVO Pte Ltd,2017,,Pre-seed,Lifestyle,,,
TAKE LAH PTE. LTD.,2021,,Pre-seed,,,https://bigdatainvestor.com,
ENERGIZE TECHNOLOGIES PTE. LTD.,2021,,Pre-seed,,,http://www.energize.earth,
INVESTMATES PTE. LTD.,2021,11 - 50,Pre-seed,Infotech; Fintech; Blockchain,Personal Finance; Investing; Cryptocurrency,https://investmates.io,
MEETARTS PTE. LTD.,2021,1 - 10,Pre-seed,Retail; E-Commerce; AI; Events; Big Data,E-Commerce; SaaS; Digital Marketing; Facilities Management; Content Hosting; Trading; MICE; Recomendation Engine,https://www.meetarts.org,
BEAUTYBUDDY,2021,1 - 10,Pre-seed,E-Commerce; Others; SaaS,beauty; SaaS; marketplace; booking; Wellness; Salons; Spas,https://www.beautybuddy.com.ph/,
NEXUS AEROSPACE PTE. LTD.,2022,,Pre-seed,,,https://nexusaerospace.com/,
REGTANK TECHNOLOGY PTE. LTD.,2020,11 - 50,Pre-seed,Fintech,Risk Management; Data Analysis,https://regtank.com,
IMAGINATO PTE. LTD.,2020,51 - 100,Pre-seed,E-Commerce; Food & Beverage; Fintech; Travel & Hospitality; Big Data,Application Development; Systems Development,https://www.imaginato.com,
JETDEVS PTE. LTD.,2020,1 - 10,Pre-seed,Education; E-Commerce; AI; Enterprise Solutions; Cloud,E-Learning; Gamification; Learning Platform; Human Resources; Social Networking,https://www.jetdevs.com,
DECIATO PTE. LTD.,2021,1 - 10,Pre-seed,Aerospace; Travel & Hospitality; SaaS; Data Analysis; Big Data,Aviation; Data Analysis; Decision Automation,https://www.deciato.com,
REGENERATION ENERGY PTE. LTD.,2022,1 - 10,Pre-seed,E-Commerce; Cleantech; Blockchain,energy trading,https://www.hydroniumpower.com/,
DOBIN PTE. LTD.,2022,1 - 10,Pre-seed,AI; Fintech; Data Analysis,P2P Lending; Crowdfunding; Payment Systems,https://www.dobin.io/,
CONCRETEAI PRIVATE LIMITED,2022,1 - 10,Pre-seed,Others; IoT; Hardware,Built environment; construction tech; Industry 4.0; IoT,https://www.concreteai.io/,
MEATIPLY PTE. LTD.,2021,1 - 10,Pre-seed,Food Science and Technology; Biotech; Agritech; Food Manufacturing & Processing,Alternative Protein,https://meatiply.com/,
QUANTUMCYTE BIOTECH LIMITED,2021,1 - 10,Seed,Biotech,"@molecularpathology, @digitalpathology, @cancergenomics",http://www.quantumcyte.com,
ATOZ SOLUTIONS PTE. LTD.,2020,1 - 10,Pre-seed,AI; Infocomm Tech; SaaS; Cloud; Hardware,#infrastructure; #security; #E-waste disposal; #End to End solutions; #Automation ; #WhiteboardTV; #Support; #upgrade; #repair ,https://www.atoz-solutions.biz,
GREEN LI-ION PTE. LTD.,2020,,Pre-seed,,,,
NANOMATICS PTE. LTD.,2021,1 - 10,Pre-seed,Cleantech; Manufacturing & Engineering; Nanotechnology,Plastic waste upcycling; Carbon additives; Hydrogen,https://nanomatics-tech.com,
DIAMONDARY SYSTEMS PTE. LTD.,2022,1 - 10,Pre-seed,Industrial Electronics,Diamond Reactors; Diamond Growth; Diamond Film; composite materials; Materials & Processes,https://diamondreactoruni.weebly.com,
AFFINITE SOLUTIONS PRIVATE LIMITED,2020,11 - 50,Pre-seed,AI; Healthcare Services; Fintech; Infocomm Tech; Data Analysis,Risk Management; Insurtech; SaaS; Health Analytics; Customer Relationship Management; Human Resources; Data Analysis; Consumer & Marketing Analytics,https://www.affinite.co/,
CHASING AI PTE. LTD.,2022,1 - 10,Pre-seed,AI; IoT; SaaS; Data Analysis; Cloud,AI; IoT; Data Analysis; SaaS; Cloud,http://www.chasingai.com/,
CHEKK PTE. LTD.,2020,,Pre-seed,,,http://www.chekk.me,
ONMYGRAD PTE. LTD.,2022,1 - 10,Pre-seed,Education; Enterprise Solutions; SaaS,Human Resources,https://www.onmygrad.com/about,
BOVEM™,2021,1 - 10,Pre-seed,E-Commerce,Grooming; direct-to-consumer,http://www.bovem.co,
SGP FOODS PTE. LTD.,2020,11 - 50,Pre-seed,Food Science and Technology; Agritech; Infocomm Tech; Manufacturing & Engineering; Cloud,Organic Farming; Seed; Alternative Protein; Smart Farming; Extraction Technology; Controlled Environment Agriculture; Soil Technology; Software; IoT; Cyber Security,https://www.sgpfoods.com/,
ADON WELLNESS PTE. LTD.,2021,1 - 10,Pre-seed,E-Commerce; Digital Health,"E-commerce, D2C, Health, Wellness",https://www.adonman.in/,
HOMEQUBE PTE. LTD.,2020,1 - 10,Pre-seed,AI; Supply Chain & Logistics; Manufacturing & Engineering; Blockchain; SaaS,Home & Living; Green Building Technology; web3,https://www.homeqube.com,
EBUDDYTUTOR PTE. LTD.,2022,1 - 10,Pre-seed,Education,marketplace for international online tuition platform,https://josephinechewcy.wixsite.com/ebuddytutor,
BC BITES PTE. LTD.,2021,1 - 10,Pre-seed,Food Science and Technology; Food & Beverage; Food Manufacturing & Processing,Food Packaging; Social Networking,https://bcbites.sg,
BLACKEY SINGAPORE PTE. LTD.,2018,1 - 10,Pre-seed,E-Commerce; IoT,E-Commerce,https://www.blackey.sg,
THREESSENTIALS PTE. LTD.,2021,1 - 10,Pre-seed,Nanotechnology,"nanotechnology, nanoencapsulation, biodegradable, cosmetics, actives, skincare, repellent, pesticides, delivery system",http://www.threessentials.com,
TECHNODEMICS SMART SOLUTIONS PTE. LTD.,2020,,Pre-seed,,,https://www.edutinker.com/,
Esco Lifesciences,2020,,Pre-seed,Biotech,,https://www.escolifesciences.com/,based on internet checks
Atome,2019,,Pre-seed,AI; Fintech,,https://www.atome.sg/,based on internet checks
Nansen Pte. Ltd.,2020,,Pre-seed,Blockchain; Data Analysis,,,
ADDX,2021,,Pre-seed,Fintech; Blockchain,,,
iSTOX,2018,,Pre-seed,,,https://www.addx.co/,based on internet checks
CARGENE THERAPEUTICS PTE. LTD.,2020,,Pre-seed,Biotech,,https://www.cargene.com/,based on internet checks
DeBank Global PTE LTD,2019,,Pre-seed,Fintech; Blockchain,,,
Endowus,2019,,Pre-seed,Fintech,,,
MINTABLE PTE. LTD.,2019,,Pre-seed,E-Commerce,,,
NAS EDUCATION PTE. LTD.,2019,,Pre-seed,Education; Infocomm Tech,,https://nas.com/,based on internet checks
RPG COMMERCE HOLDINGS PTE. LTD.,2020,,Pre-seed,Retail; E-Commerce; Infocomm Tech,,,
ERUDIFI PTE. LTD.,2018,,Pre-seed,Education,,https://erudifi.com,based on internet checks
ONLOOP PTE. LTD.,2020,,Pre-seed,AI,,https://www.onloop.com/,based on internet checks
GOZEM PTE. LTD.,2017,,Pre-seed,Others,,https://gozem.co,based on internet checks
MOOLAHGO PTE. LTD.,2017,,Pre-seed,E-Commerce; Fintech,,https://www.moolahgo.com/,based on internet checks
GREYWING PTE. LTD.,2019,1 - 10,Seed,Maritime; AI; Big Data,AI; verticalai; Maritime; SaaS,https://www.grey-wing.com/,
DYNASTY KINGDOM PTE. LTD.,2021,,Pre-seed,,,,
BLOCK LABS PTE. LTD.,2021,,Pre-seed,Blockchain,,,no webpage found
FINAN PTE. LTD.,2021,,Pre-seed,E-Commerce; Enterprise Solutions; Infocomm Tech,,,
